donem,tablo,kalem,sayi
2026-01,kusur_unsurlari,YOLCU,116
2026-01,kusur_unsurlari,ARAÇ,164
2026-01,kusur_unsurlari,YOL,111
2026-01,surucu_kusurlari,"Araç hızını yol, hava ve trafiğin gerektirdiği şartlara uydurmamak",7533
2026-01,surucu_kusurlari,"Kavşak,geçit ve kaplamanın dar old.yerlerde geçiş önc.uymamak",3024
2026-01,surucu_kusurlari,Şerit izleme ve değiştirme kural.uymamak,1514
2026-01,surucu_kusurlari,Arkadan Çarpma,1745
2026-01,surucu_kusurlari,Doğrultu Değiştirme (dönüş) kurallarına uymamak,1442
2026-01,surucu_kusurlari,Manevraları düzenleyen genel şartlara uymamak,771
2026-01,surucu_kusurlari,Kırmızı ışık veya görevlinin dur işaretinde durmamak,492
2026-01,surucu_kusurlari,Taşıt giremez trafik işareti bulunan yerlere girmek,608
2026-01,surucu_kusurlari,Trafik güvenliği ile ilgili diğer kurallara uymamak,377
2026-01,surucu_kusurlari,"Yaya ve okul geçitlerinde yavaşlamamak, yayalara geçiş hakkı vermemek",322
2026-01,surucu_kusurlari,Alkollü olarak araç kullanmak,96
2026-01,surucu_kusurlari,Aşırı hızla araç kullanmak,118
2026-01,surucu_kusurlari,Geçme yasağı olan yerlerden geçmek,219
2026-01,surucu_kusurlari,Hatalı şekilde veya yasak olan yerlere park etmek,89
2026-01,surucu_kusurlari,DİĞER,427
2026-01,karisan_arac_cinsi,Bisiklet,255
2026-01,karisan_arac_cinsi,At Arabası,2
2026-01,karisan_arac_cinsi,Motorlu Bisiklet,1789
2026-01,karisan_arac_cinsi,Motosiklet,5745
2026-01,karisan_arac_cinsi,Otomobil,14215
2026-01,karisan_arac_cinsi,Minibüs,607
2026-01,karisan_arac_cinsi,Kamyonet,4128
2026-01,karisan_arac_cinsi,Kamyon,482
2026-01,karisan_arac_cinsi,Çekici,657
2026-01,karisan_arac_cinsi,Otobüs,564
2026-01,karisan_arac_cinsi,Traktör,78
2026-01,karisan_arac_cinsi,Arazi Taşıtı,5
2026-01,karisan_arac_cinsi,Özel Amaçlı,67
2026-01,karisan_arac_cinsi,İş Makinesi,37
2026-01,karisan_arac_cinsi,Ambulans,23
2026-01,karisan_arac_cinsi,Tanker,11
2026-01,karisan_arac_cinsi,Tren,4
2026-01,karisan_arac_cinsi,Tramvay,3
2026-01,karisan_arac_cinsi,Diğer,368
2026-01,trafik_cezalari,Yayalara Uygulanan,249
2026-01,trafik_cezalari,Yolculara Uygulanan,6144
2026-01,trafik_cezalari,Sürücülere Uygulanan,378179
2026-01,trafik_cezalari,Araç Plakasına Uygulanan,2091860
2026-01,diger_ekip_faaliyetleri,Alkollü Olarak Araç Kullanan,17651
2026-01,diger_ekip_faaliyetleri,100 Ceza Puanını Dolduran,1315
2026-01,diger_ekip_faaliyetleri,5 Kez Hız Limitini Aşan,48
2026-01,diger_ekip_faaliyetleri,Diğer İşlemler,3574
2026-01,diger_ekip_faaliyetleri,Mülki Amire Sevk Edilen Sür. Sayısı,14
2026-01,diger_ekip_faaliyetleri,Trafikten Men Edilen Araç Sayısı,166739
2026-02,kaza_olus_sekli,Karşılıklı Çarpışma,868
2026-02,kaza_olus_sekli,Arkadan Çarpma,1916
2026-02,kaza_olus_sekli,Yandan Çarpma,5695
2026-02,kaza_olus_sekli,Yan Yana Çarpışma,311
2026-02,kaza_olus_sekli,Duran Araca Çarpma,212
2026-02,kaza_olus_sekli,Zincirleme Çarpışma,98
2026-02,kaza_olus_sekli,Çoklu Çarpışma,117
2026-02,kaza_olus_sekli,Engel/Cisim ile Çarpışma,794
2026-02,kaza_olus_sekli,Yayaya Çarpma,2768
2026-02,kaza_olus_sekli,Hayvana Çarpma,44
2026-02,kaza_olus_sekli,Devrilme/Savrulma/Takla,2182
2026-02,kaza_olus_sekli,Yoldan Çıkma,1498
2026-02,kaza_olus_sekli,Araçtan Insan Düşmesi,114
2026-02,kaza_olus_sekli,Araçtan Cisim Düşmesi,6
2026-02,kaza_olus_sekli,Park etmis araca çarpma,203
2026-02,karisan_arac_sayisi,Tek Araçlı,6870
2026-02,karisan_arac_sayisi,İki Araçlı,8833
2026-02,karisan_arac_sayisi,Çok Araçlı,1123
2026-02,kusur_unsurlari,SÜRÜCÜ,18009
2026-02,kusur_unsurlari,YAYA,1801
2026-02,kusur_unsurlari,YOLCU,105
2026-02,kusur_unsurlari,ARAÇ,183
2026-02,kusur_unsurlari,YOL,140
2026-02,surucu_kusurlari,"Araç hızını yol, hava ve trafiğin gerektirdiği şartlara uydurmamak",6745
2026-02,surucu_kusurlari,"Kavşak,geçit ve kaplamanın dar old.yerlerde geçiş önc.uymamak",3183
2026-02,surucu_kusurlari,Şerit izleme ve değiştirme kural.uymamak,1511
2026-02,surucu_kusurlari,Arkadan Çarpma,1683
2026-02,surucu_kusurlari,Doğrultu Değiştirme (dönüş) kurallarına uymamak,1343
2026-02,surucu_kusurlari,Manevraları düzenleyen genel şartlara uymamak,799
2026-02,surucu_kusurlari,Kırmızı ışık veya görevlinin dur işaretinde durmamak,461
2026-02,surucu_kusurlari,Taşıt giremez trafik işareti bulunan yerlere girmek,628
2026-02,surucu_kusurlari,Trafik güvenliği ile ilgili diğer kurallara uymamak,414
2026-02,surucu_kusurlari,"Yaya ve okul geçitlerinde yavaşlamamak, yayalara geçiş hakkı vermemek",315
2026-02,surucu_kusurlari,Alkollü olarak araç kullanmak,85
2026-02,surucu_kusurlari,Aşırı hızla araç kullanmak,120
2026-02,surucu_kusurlari,Geçme yasağı olan yerlerden geçmek,223
2026-02,surucu_kusurlari,Hatalı şekilde veya yasak olan yerlere park etmek,74
2026-02,surucu_kusurlari,DİĞER,425
2026-02,karisan_arac_cinsi,Bisiklet,291
2026-02,karisan_arac_cinsi,At Arabası,1
2026-02,karisan_arac_cinsi,Motorlu Bisiklet,1960
2026-02,karisan_arac_cinsi,Motosiklet,6002
2026-02,karisan_arac_cinsi,Otomobil,13359
2026-02,karisan_arac_cinsi,Minibüs,653
2026-02,karisan_arac_cinsi,Kamyonet,3777
2026-02,karisan_arac_cinsi,Kamyon,484
2026-02,karisan_arac_cinsi,Çekici,586
2026-02,karisan_arac_cinsi,Otobüs,534
2026-02,karisan_arac_cinsi,Traktör,62
2026-02,karisan_arac_cinsi,Arazi Taşıtı,2
2026-02,karisan_arac_cinsi,Özel Amaçlı,63
2026-02,karisan_arac_cinsi,İş Makinesi,32
2026-02,karisan_arac_cinsi,Ambulans,25
2026-02,karisan_arac_cinsi,Tanker,6
2026-02,karisan_arac_cinsi,Tren,7
2026-02,karisan_arac_cinsi,Tramvay,3
2026-02,karisan_arac_cinsi,Diğer,424
2026-02,trafik_cezalari,Yayalara Uygulanan,389
2026-02,trafik_cezalari,Yolculara Uygulanan,7166
2026-02,trafik_cezalari,Sürücülere Uygulanan,398745
2026-02,trafik_cezalari,Araç Plakasına Uygulanan,2103590
2026-02,diger_ekip_faaliyetleri,Alkollü Olarak Araç Kullanan,12475
2026-02,diger_ekip_faaliyetleri,100 Ceza Puanını Dolduran,1316
2026-02,diger_ekip_faaliyetleri,5 Kez Hız Limitini Aşan,50
2026-02,diger_ekip_faaliyetleri,Diğer İşlemler,7913
2026-02,diger_ekip_faaliyetleri,Mülki Amire Sevk Edilen Sür. Sayısı,18
2026-02,diger_ekip_faaliyetleri,Trafikten Men Edilen Araç Sayısı,178633
2026-03,kaza_olus_sekli,Karşılıklı Çarpışma,1141
2026-03,kaza_olus_sekli,Arkadan Çarpma,2469
2026-03,kaza_olus_sekli,Yandan Çarpma,7457
2026-03,kaza_olus_sekli,Yan Yana Çarpışma,428
2026-03,kaza_olus_sekli,Duran Araca Çarpma,268
2026-03,kaza_olus_sekli,Zincirleme Çarpışma,138
2026-03,kaza_olus_sekli,Çoklu Çarpışma,145
2026-03,kaza_olus_sekli,Engel/Cisim ile Çarpışma,978
2026-03,kaza_olus_sekli,Yayaya Çarpma,3005
2026-03,kaza_olus_sekli,Hayvana Çarpma,43
2026-03,kaza_olus_sekli,Devrilme/Savrulma/Takla,2828
2026-03,kaza_olus_sekli,Yoldan Çıkma,2031
2026-03,kaza_olus_sekli,Araçtan Insan Düşmesi,159
2026-03,kaza_olus_sekli,Araçtan Cisim Düşmesi,5
2026-03,kaza_olus_sekli,Park etmis araca çarpma,201
2026-03,karisan_arac_sayisi,Tek Araçlı,8398
2026-03,karisan_arac_sayisi,İki Araçlı,11414
2026-03,karisan_arac_sayisi,Çok Araçlı,1484
2026-03,kusur_unsurlari,SÜRÜCÜ,22951
2026-03,kusur_unsurlari,YAYA,2030
2026-03,kusur_unsurlari,YOLCU,127
2026-03,kusur_unsurlari,ARAÇ,226
2026-03,kusur_unsurlari,YOL,120
2026-03,surucu_kusurlari,"Araç hızını yol, hava ve trafiğin gerektirdiği şartlara uydurmamak",8608
2026-03,surucu_kusurlari,"Kavşak,geçit ve kaplamanın dar old.yerlerde geçiş önc.uymamak",4166
2026-03,surucu_kusurlari,Şerit izleme ve değiştirme kural.uymamak,2024
2026-03,surucu_kusurlari,Arkadan Çarpma,2270
2026-03,surucu_kusurlari,Doğrultu Değiştirme (dönüş) kurallarına uymamak,1746
2026-03,surucu_kusurlari,Manevraları düzenleyen genel şartlara uymamak,1025
2026-03,surucu_kusurlari,Kırmızı ışık veya görevlinin dur işaretinde durmamak,458
2026-03,surucu_kusurlari,Taşıt giremez trafik işareti bulunan yerlere girmek,794
2026-03,surucu_kusurlari,Trafik güvenliği ile ilgili diğer kurallara uymamak,464
2026-03,surucu_kusurlari,"Yaya ve okul geçitlerinde yavaşlamamak, yayalara geçiş hakkı vermemek",296
2026-03,surucu_kusurlari,Alkollü olarak araç kullanmak,92
2026-03,surucu_kusurlari,Aşırı hızla araç kullanmak,122
2026-03,surucu_kusurlari,Geçme yasağı olan yerlerden geçmek,296
2026-03,surucu_kusurlari,Hatalı şekilde veya yasak olan yerlere park etmek,116
2026-03,surucu_kusurlari,DİĞER,474
2026-03,karisan_arac_cinsi,Bisiklet,430
2026-03,karisan_arac_cinsi,At Arabası,4
2026-03,karisan_arac_cinsi,Motorlu Bisiklet,2653
2026-03,karisan_arac_cinsi,Motosiklet,7782
2026-03,karisan_arac_cinsi,Otomobil,17714
2026-03,karisan_arac_cinsi,Minibüs,667
2026-03,karisan_arac_cinsi,Kamyonet,4560
2026-03,karisan_arac_cinsi,Kamyon,486
2026-03,karisan_arac_cinsi,Çekici,633
2026-03,karisan_arac_cinsi,Otobüs,524
2026-03,karisan_arac_cinsi,Traktör,114
2026-03,karisan_arac_cinsi,Arazi Taşıtı,6
2026-03,karisan_arac_cinsi,Özel Amaçlı,62
2026-03,karisan_arac_cinsi,İş Makinesi,23
2026-03,karisan_arac_cinsi,Ambulans,19
2026-03,karisan_arac_cinsi,Tanker,9
2026-03,karisan_arac_cinsi,Tren,2
2026-03,karisan_arac_cinsi,Tramvay,12
2026-03,karisan_arac_cinsi,Diğer,436
2026-03,trafik_cezalari,Yayalara Uygulanan,351
2026-03,trafik_cezalari,Yolculara Uygulanan,7346
2026-03,trafik_cezalari,Sürücülere Uygulanan,400544
2026-03,trafik_cezalari,Araç Plakasına Uygulanan,1809097
2026-03,diger_ekip_faaliyetleri,Alkollü Olarak Araç Kullanan,9939
2026-03,diger_ekip_faaliyetleri,100 Ceza Puanını Dolduran,919
2026-03,diger_ekip_faaliyetleri,51. Madde (Hız İhlali),584
2026-03,diger_ekip_faaliyetleri,Diğer İşlemler,9317
2026-03,diger_ekip_faaliyetleri,Mülki Amire Sevk Edilen Sür. Sayısı,4
2026-03,diger_ekip_faaliyetleri,Trafikten Men Edilen Araç Sayısı,186816
2026-04,kaza_olus_sekli,Karşılıklı Çarpışma,1072
2026-04,kaza_olus_sekli,Arkadan Çarpma,2512
