donem,tablo,kalem,sayi
2026-06,surucu_kusurlari,Taşıt giremez trafik işareti bulunan yerlere girmek,1012
2026-06,surucu_kusurlari,Trafik güvenliği ile ilgili diğer kurallara uymamak,666
2026-06,surucu_kusurlari,"Yaya ve okul geçitlerinde yavaşlamamak, yayalara geçiş hakkı vermemek",340
2026-06,surucu_kusurlari,Alkollü olarak araç kullanmak,159
2026-06,surucu_kusurlari,Aşırı hızla araç kullanmak,129
2026-06,surucu_kusurlari,Geçme yasağı olan yerlerden geçmek,458
2026-06,surucu_kusurlari,Hatalı şekilde veya yasak olan yerlere park etmek,119
2026-06,surucu_kusurlari,DİĞER,1546
2026-06,karisan_arac_cinsi,Bisiklet,1129
2026-06,karisan_arac_cinsi,At Arabası,5
2026-06,karisan_arac_cinsi,Motorlu Bisiklet,4821
2026-06,karisan_arac_cinsi,Motosiklet,11770
2026-06,karisan_arac_cinsi,Otomobil,20811
2026-06,karisan_arac_cinsi,Minibüs,844
2026-06,karisan_arac_cinsi,Kamyonet,5551
2026-06,karisan_arac_cinsi,Kamyon,645
2026-06,karisan_arac_cinsi,Çekici,769
2026-06,karisan_arac_cinsi,Otobüs,621
2026-06,karisan_arac_cinsi,Traktör,294
2026-06,karisan_arac_cinsi,Arazi Taşıtı,17
2026-06,karisan_arac_cinsi,Özel Amaçlı,106
2026-06,karisan_arac_cinsi,İş Makinesi,47
2026-06,karisan_arac_cinsi,Ambulans,26
2026-06,karisan_arac_cinsi,Tanker,11
2026-06,karisan_arac_cinsi,Tren,6
2026-06,karisan_arac_cinsi,Tramvay,12
2026-06,karisan_arac_cinsi,Diğer,894
2026-06,trafik_cezalari,Yayalara Uygulanan,511
2026-06,trafik_cezalari,Yolculara Uygulanan,11920
2026-06,trafik_cezalari,Sürücülere Uygulanan,439378
2026-06,trafik_cezalari,Araç Plakasına Uygulanan,1864175
2026-06,diger_ekip_faaliyetleri,Alkollü Olarak Araç Kullanan,23058
2026-06,diger_ekip_faaliyetleri,100 Ceza Puanını Dolduran,844
2026-06,diger_ekip_faaliyetleri,51. Madde (Hız İhlali),757
2026-06,diger_ekip_faaliyetleri,Diğer İşlemler,10830
2026-06,diger_ekip_faaliyetleri,Mülki Amire Sevk Edilen Sür. Sayısı,16
2026-06,diger_ekip_faaliyetleri,Trafikten Men Edilen Araç Sayısı,200857
2026-07,kaza_olus_sekli,Karşılıklı Çarpışma,1711
2026-07,kaza_olus_sekli,Arkadan Çarpma,3531
2026-07,kaza_olus_sekli,Yandan Çarpma,10596
2026-07,kaza_olus_sekli,Yan Yana Çarpışma,635
2026-07,kaza_olus_sekli,Duran Araca Çarpma,336
2026-07,kaza_olus_sekli,Zincirleme Çarpışma,183
2026-07,kaza_olus_sekli,Çoklu Çarpışma,180
2026-07,kaza_olus_sekli,Engel/Cisim ile Çarpışma,1195
2026-07,kaza_olus_sekli,Yayaya Çarpma,3353
2026-07,kaza_olus_sekli,Hayvana Çarpma,96
2026-07,kaza_olus_sekli,Devrilme/Savrulma/Takla,5107
2026-07,kaza_olus_sekli,Yoldan Çıkma,2666
2026-07,kaza_olus_sekli,Araçtan Insan Düşmesi,226
2026-07,kaza_olus_sekli,Araçtan Cisim Düşmesi,12
2026-07,kaza_olus_sekli,Park etmis araca çarpma,357
2026-07,karisan_arac_sayisi,Tek Araçlı,11609
2026-07,karisan_arac_sayisi,İki Araçlı,16785
2026-07,karisan_arac_sayisi,Çok Araçlı,1790
2026-07,kusur_unsurlari,SÜRÜCÜ,32586
2026-07,kusur_unsurlari,YAYA,2308
2026-07,kusur_unsurlari,YOLCU,248
2026-07,kusur_unsurlari,ARAÇ,380
2026-07,kusur_unsurlari,YOL,158
2026-07,surucu_kusurlari,"Araç hızını yol, hava ve trafiğin gerektirdiği şartlara uydurmamak",11906
2026-07,surucu_kusurlari,"Kavşak,geçit ve kaplamanın dar old.yerlerde geçiş önc.uymamak",5669
2026-07,surucu_kusurlari,Şerit izleme ve değiştirme kural.uymamak,3241
2026-07,surucu_kusurlari,Arkadan Çarpma,3185
2026-07,surucu_kusurlari,Doğrultu Değiştirme (dönüş) kurallarına uymamak,2809
2026-07,surucu_kusurlari,Manevraları düzenleyen genel şartlara uymamak,1447
2026-07,surucu_kusurlari,Kırmızı ışık veya görevlinin dur işaretinde durmamak,593
2026-07,surucu_kusurlari,Taşıt giremez trafik işareti bulunan yerlere girmek,1073
2026-07,surucu_kusurlari,Trafik güvenliği ile ilgili diğer kurallara uymamak,668
2026-07,surucu_kusurlari,"Yaya ve okul geçitlerinde yavaşlamamak, yayalara geçiş hakkı vermemek",293
2026-07,surucu_kusurlari,Alkollü olarak araç kullanmak,167
2026-07,surucu_kusurlari,Aşırı hızla araç kullanmak,165
2026-07,surucu_kusurlari,Geçme yasağı olan yerlerden geçmek,488
2026-07,surucu_kusurlari,Hatalı şekilde veya yasak olan yerlere park etmek,155
2026-07,surucu_kusurlari,DİĞER,727
2026-07,karisan_arac_cinsi,Bisiklet,1208
2026-07,karisan_arac_cinsi,At Arabası,5
2026-07,karisan_arac_cinsi,Motorlu Bisiklet,5201
2026-07,karisan_arac_cinsi,Motosiklet,11852
2026-07,karisan_arac_cinsi,Otomobil,22393
2026-07,karisan_arac_cinsi,Minibüs,807
2026-07,karisan_arac_cinsi,Kamyonet,5851
2026-07,karisan_arac_cinsi,Kamyon,748
2026-07,karisan_arac_cinsi,Çekici,859
2026-07,karisan_arac_cinsi,Otobüs,602
2026-07,karisan_arac_cinsi,Traktör,392
2026-07,karisan_arac_cinsi,Arazi Taşıtı,15
2026-07,karisan_arac_cinsi,Özel Amaçlı,93
2026-07,karisan_arac_cinsi,İş Makinesi,65
2026-07,karisan_arac_cinsi,Ambulans,27
2026-07,karisan_arac_cinsi,Tanker,7
2026-07,karisan_arac_cinsi,Tren,2
2026-07,karisan_arac_cinsi,Tramvay,10
2026-07,karisan_arac_cinsi,Diğer,867
2026-07,trafik_cezalari,Yayalara Uygulanan,344
2026-07,trafik_cezalari,Yolculara Uygulanan,11017
2026-07,trafik_cezalari,Sürücülere Uygulanan,413899
2026-07,trafik_cezalari,Araç Plakasına Uygulanan,1991120
2026-07,diger_ekip_faaliyetleri,Alkollü Olarak Araç Kullanan,21324
2026-07,diger_ekip_faaliyetleri,100 Ceza Puanını Dolduran,766
2026-07,diger_ekip_faaliyetleri,51. Madde (Hız İhlali),611
2026-07,diger_ekip_faaliyetleri,Diğer İşlemler,10314
2026-07,diger_ekip_faaliyetleri,Mülki Amire Sevk Edilen Sür. Sayısı,11
2026-07,diger_ekip_faaliyetleri,Trafikten Men Edilen Araç Sayısı,210598
2026-08,kaza_olus_sekli,Karşılıklı Çarpışma,1723
2026-08,kaza_olus_sekli,Arkadan Çarpma,3853
2026-08,kaza_olus_sekli,Yandan Çarpma,10415
2026-08,kaza_olus_sekli,Yan Yana Çarpışma,653
2026-08,kaza_olus_sekli,Duran Araca Çarpma,332
2026-08,kaza_olus_sekli,Zincirleme Çarpışma,199
2026-08,kaza_olus_sekli,Çoklu Çarpışma,188
2026-08,kaza_olus_sekli,Engel/Cisim ile Çarpışma,1231
2026-08,kaza_olus_sekli,Yayaya Çarpma,3207
2026-08,kaza_olus_sekli,Hayvana Çarpma,133
2026-08,kaza_olus_sekli,Devrilme/Savrulma/Takla,5198
2026-08,kaza_olus_sekli,Yoldan Çıkma,2740
2026-08,kaza_olus_sekli,Araçtan Insan Düşmesi,237
2026-08,kaza_olus_sekli,Araçtan Cisim Düşmesi,11
2026-08,kaza_olus_sekli,Park etmis araca çarpma,308
2026-08,karisan_arac_sayisi,Tek Araçlı,11703
2026-08,karisan_arac_sayisi,İki Araçlı,16882
2026-08,karisan_arac_sayisi,Çok Araçlı,1843
2026-08,kusur_unsurlari,SÜRÜCÜ,32708
2026-08,kusur_unsurlari,YAYA,2199
2026-08,kusur_unsurlari,YOLCU,262
2026-08,kusur_unsurlari,ARAÇ,465
2026-08,kusur_unsurlari,YOL,184
2026-08,surucu_kusurlari,"Araç hızını yol, hava ve trafiğin gerektirdiği şartlara uydurmamak",11948
2026-08,surucu_kusurlari,"Kavşak,geçit ve kaplamanın dar old.yerlerde geçiş önc.uymamak",5361
2026-08,surucu_kusurlari,Şerit izleme ve değiştirme kural.uymamak,2896
2026-08,surucu_kusurlari,Arkadan Çarpma,3368
2026-08,surucu_kusurlari,Doğrultu Değiştirme (dönüş) kurallarına uymamak,2651
2026-08,surucu_kusurlari,Manevraları düzenleyen genel şartlara uymamak,1267
2026-08,surucu_kusurlari,Kırmızı ışık veya görevlinin dur işaretinde durmamak,550
2026-08,surucu_kusurlari,Taşıt giremez trafik işareti bulunan yerlere girmek,1095
2026-08,surucu_kusurlari,Trafik güvenliği ile ilgili diğer kurallara uymamak,594
2026-08,surucu_kusurlari,"Yaya ve okul geçitlerinde yavaşlamamak, yayalara geçiş hakkı vermemek",350
2026-08,surucu_kusurlari,Alkollü olarak araç kullanmak,147
2026-08,surucu_kusurlari,Aşırı hızla araç kullanmak,167
2026-08,surucu_kusurlari,Geçme yasağı olan yerlerden geçmek,478
2026-08,surucu_kusurlari,Hatalı şekilde veya yasak olan yerlere park etmek,124
2026-08,surucu_kusurlari,DİĞER,1712
2026-08,karisan_arac_cinsi,Bisiklet,1164
2026-08,karisan_arac_cinsi,At Arabası,8
2026-08,karisan_arac_cinsi,Motorlu Bisiklet,5252
2026-08,karisan_arac_cinsi,Motosiklet,11924
2026-08,karisan_arac_cinsi,Otomobil,22791
2026-08,karisan_arac_cinsi,Minibüs,806
2026-08,karisan_arac_cinsi,Kamyonet,5791
2026-08,karisan_arac_cinsi,Kamyon,726
2026-08,karisan_arac_cinsi,Çekici,889
2026-08,karisan_arac_cinsi,Otobüs,605
2026-08,karisan_arac_cinsi,Traktör,415
2026-08,karisan_arac_cinsi,Arazi Taşıtı,16
2026-08,karisan_arac_cinsi,Özel Amaçlı,93
2026-08,karisan_arac_cinsi,İş Makinesi,52
2026-08,karisan_arac_cinsi,Ambulans,24
2026-08,karisan_arac_cinsi,Tanker,10
2026-08,karisan_arac_cinsi,Tren,1
2026-08,karisan_arac_cinsi,Tramvay,10
2026-08,karisan_arac_cinsi,Diğer,931
2026-08,trafik_cezalari,Yayalara Uygulanan,388
2026-08,trafik_cezalari,Yolculara Uygulanan,10991
2026-08,trafik_cezalari,Sürücülere Uygulanan,414191
2026-08,trafik_cezalari,Araç Plakasına Uygulanan,2009865
2026-08,diger_ekip_faaliyetleri,Alkollü Olarak Araç Kullanan,22058
2026-08,diger_ekip_faaliyetleri,100 Ceza Puanını Dolduran,710
2026-08,diger_ekip_faaliyetleri,51. Madde (Hız İhlali),574
2026-08,diger_ekip_faaliyetleri,Diğer İşlemler,11034
2026-08,diger_ekip_faaliyetleri,Mülki Amire Sevk Edilen Sür. Sayısı,19
2026-08,diger_ekip_faaliyetleri,Trafikten Men Edilen Araç Sayısı,206036
