donem,plaka,il,olumlu_yaralanmali_kaza,maddi_hasarli_kaza,olu,yarali,hesaplanan_alan
2026-01,44,Malatya,102,189,1,137,
2026-01,45,Manisa,391,519,4,541,
2026-01,46,Kahramanmaraş,198,375,2,312,
2026-01,47,Mardin,94,176,3,157,
2026-01,48,Muğla,396,426,2,526,
2026-01,49,Muş,21,75,0,33,
2026-01,50,Nevşehir,72,184,1,127,
2026-01,51,Niğde,83,182,2,137,
2026-01,52,Ordu,187,369,0,236,
2026-01,53,Rize,89,116,0,117,
2026-01,54,Sakarya,258,378,3,394,
2026-01,55,Samsun,389,715,5,546,
2026-01,56,Siirt,32,92,0,40,
2026-01,57,Sinop,50,52,2,77,
2026-01,58,Sivas,92,200,1,162,
2026-01,59,Tekirdağ,257,527,2,369,
2026-01,60,Tokat,114,176,1,183,
2026-01,61,Trabzon,186,278,0,251,
2026-01,62,Tunceli,5,36,0,7,
2026-01,63,Şanlıurfa,261,443,1,429,
2026-01,64,Uşak,79,158,0,112,
2026-01,65,Van,69,248,1,111,
2026-01,66,Yozgat,65,125,0,108,
2026-01,67,Zonguldak,120,195,2,181,
2026-01,68,Aksaray,91,231,1,166,
2026-01,69,Bayburt,8,13,0,22,
2026-01,70,Karaman,58,74,0,77,
2026-01,71,Kırıkkale,64,143,0,94,
2026-01,72,Batman,65,203,4,113,
2026-01,73,Şırnak,59,86,1,112,
2026-01,74,Bartın,42,59,0,87,
2026-01,75,Ardahan,8,31,0,11,
2026-01,76,Iğdır,30,52,0,38,
2026-01,77,Yalova,75,101,0,106,
2026-01,78,Karabük,50,57,1,87,
2026-01,79,Kilis,21,14,0,29,
2026-01,80,Osmaniye,201,142,0,268,
2026-01,81,Düzce,95,115,2,135,
2026-02,1,Adana,402,630,3,540,
2026-02,2,Adıyaman,98,167,1,167,
2026-02,3,Afyonkarahisar,142,212,0,222,
2026-02,4,Ağrı,66,128,0,127,
2026-02,5,Amasya,100,111,2,152,
2026-02,6,Ankara,1068,6286,10,1401,
2026-02,7,Antalya,828,896,9,1078,
2026-02,8,Artvin,20,30,3,37,
2026-02,9,Aydın,332,320,3,417,
2026-02,10,Balıkesir,293,379,2,399,
2026-02,11,Bilecik,53,49,1,78,
2026-02,12,Bingöl,53,70,2,90,
2026-02,13,Bitlis,55,99,3,96,
2026-02,14,Bolu,68,99,2,122,
2026-02,15,Burdur,68,64,9,108,
2026-02,16,Bursa,639,1556,4,821,
2026-02,17,Çanakkale,124,118,0,185,
2026-02,18,Çankırı,51,76,2,80,
2026-02,19,Çorum,114,242,0,165,
2026-02,20,Denizli,280,439,2,367,
2026-02,21,Diyarbakır,215,446,0,348,
2026-02,22,Edirne,57,99,2,79,
2026-02,23,Elazığ,102,133,1,160,
