donem,plaka,il,olumlu_yaralanmali_kaza,maddi_hasarli_kaza,olu,yarali,hesaplanan_alan
2026-07,61,Trabzon,261,453,2,377,
2026-07,62,Tunceli,30,34,0,49,
2026-07,63,Şanlıurfa,395,362,10,654,
2026-07,64,Uşak,184,139,1,293,
2026-07,65,Van,209,263,2,354,
2026-07,66,Yozgat,144,130,1,239,
2026-07,67,Zonguldak,202,148,2,299,
2026-07,68,Aksaray,183,285,2,323,
2026-07,69,Bayburt,35,27,0,91,
2026-07,70,Karaman,143,68,3,210,
2026-07,71,Kırıkkale,148,149,1,307,
2026-07,72,Batman,141,174,0,198,
2026-07,73,Şırnak,85,74,1,168,
2026-07,74,Bartın,90,55,1,122,
2026-07,75,Ardahan,29,37,3,58,
2026-07,76,Iğdır,54,57,0,79,
2026-07,77,Yalova,186,115,1,263,
2026-07,78,Karabük,81,64,1,131,
2026-07,79,Kilis,36,13,0,55,
2026-07,80,Osmaniye,269,134,1,384,
2026-07,81,Düzce,163,130,4,223,
