cadde,konum,enlem,boylam,olay,eslesme_uzakligi_km
Ankara Caddesi,Özkanlar Yol Ayrımı Hizası,38.45722,27.20501,4,0.32
Anadolu Caddesi,Bayraklı Belediyesi Öncesi,38.46504,27.16332,4,0.01
Menderes Caddesi,Şirinyer Pazaryeri Hizası,38.3935,27.14879,4,0.13
Anadolu Caddesi,Naldöken Köprü sonrası,38.46651,27.12936,4,0.01
Anadolu Caddesi,Çiğli Vergi Dairesi Hizası,38.4944,27.06168,4,0
Sarnıç Yolu,Sarnıç Köprü Öncesi,38.31154,27.14452,4,0.06
Cemal Gürsel Caddesi,Karşıyaka İskele Sonrası,38.45567,27.12095,4,0.05
Mürselpaşa Bulvarı,Bozkurt Kavşağı Öncesi,38.42373,27.14335,4,1.49
Anafartalar Caddesi,Basmane Gar Hizası,38.42214,27.14348,4,0
Anadolu Caddesi,Çiğli Alt Geçit Öncesi,38.4944,27.06168,4,0
Ankara Caddesi,Ege Üniversitesi Acil Önü,38.46138,27.22944,4,0.19
Anadolu Caddesi,Naldöken Köprü Hizası,38.46651,27.12936,4,0.01
Yeşillik Caddesi,Karabağlar Belediye Öncesi,38.38424,27.13463,4,0.15
Halil Rıfat Paşa Caddesi,Konak Viyadük Altı,38.41537,27.12828,4,0.18
Altınyol Caddesi,Bayraklı Belediye Hizası,38.4471,27.17144,4,1.95
Akçay Caddesi,Gaziemir Kavşağı Sonrası,38.32582,27.13665,4,0.29
Ankara Caddesi,Ege Üniversitesi Yol Ayrımı Öncesi,38.46138,27.22944,4,0.19
Akçay Caddesi,Migros Alt Geçit İçi,38.33629,27.134,4,0.08
Mustafa Kemal Sahil Bulvarı,Karantina Alt Geçit Girişi,38.40839,27.10796,4,0.14
Liman Caddesi,Havagazı Fabrikası Hizası,38.44026,27.15672,4,0.13
Cemal Gürsel Caddesi,Karşıyaka İskele Hizası,38.45567,27.12095,4,0.05
Halil Rıfat Paşa Caddesi,Konak Tüneli Çıkışı,38.41537,27.12828,4,0.18
Yalı Bulvarı,Karşıyaka İskele Hizası,38.45593,27.12214,4,0.01
Cumhuriyet Bulvarı,Konak Alt Geçit Öncesi,38.42248,27.13116,4,0.15
Akçay Caddesi,6. Sanayi Kavşak İçi,38.34917,27.13344,4,0.81
Şair Eşref Bulvarı,Montrö Kavşak İçi,38.42844,27.14141,4,0
Kamil Tunca Caddesi,Kartal Durağı Hizası,38.43231,27.19065,4,0
Yalı Bulvarı,Karşıyaka Atatürk Anıtı Hizası,38.45531,27.11968,4,0.01
Fevzi Paşa Bulvarı,Çankaya Kavşak İçi,38.42249,27.136,4,0
Ankara Caddesi,Bölge Metro Sonrası,38.45564,27.20105,4,0.07
Altınyol Caddesi,Zafer Payzın Kavşak İçi,38.4449,27.1712,4,0.09
Akçay Caddesi,Semt Garajı Öncesi,38.35739,27.13539,4,0.06
Akçay Caddesi,Semt Garajı Kavşak İçi,38.35739,27.13539,4,0.06
Akçay Caddesi,Esbaş Alt Geçit Hizası,38.33674,27.13382,4,0.02
Anadolu Caddesi,Benzinlik Hizası,38.44812,27.17253,4,0.91
Mustafa Kemal Sahil Bulvarı,Karataş Kavşak Öncesi,38.41046,27.11886,4,0.01
Altınyol Caddesi,Alsancak Ayrımı,38.44261,27.17074,3,1.94
Ankara Caddesi,Ege Üniversitesi Hastane Ayrımı,38.46138,27.22944,3,0.19
Şehitler Caddesi,Halkapınar Aktarma Merkezi Hizası,38.43406,27.16854,3,0.08
Anadolu Caddesi,Turan Üstgeçit,38.46735,27.14962,3,0.01
Anadolu Caddesi,Evka-5 Kavşağı,38.50838,27.04728,3,0.46
Cemal Gürsel Caddesi,Atatürk Anıtı,38.45574,27.0994,3,0.32
Mustafa Kemal Sahil Bulvarı,Köprü Tramvay Durağı,38.4058,27.09851,3,0.01
Altınyol Caddesi,Turan Köprü Üzeri,38.4471,27.17144,3,2.9
Altınyol Caddesi,Zafer Payzın Kavşağı,38.4449,27.1712,3,0.09
İnönü Caddesi,Yeşilyurt Kavşağı,38.40185,27.1112,3,0.52
Ankara Caddesi,Ege Üniversitesi Viyadük Üzeri,38.46138,27.22944,3,0.19
İstanbul Caddesi,Osman Kibar Kavşağı Öncesi,38.46409,27.22696,3,0.24
Yeşildere Caddesi,Tepecik Köprü Basmane Katılımı,38.42168,27.1531,3,0.3
Caher Dudayev Bulvarı,Koçtaş Hizası,38.47765,27.06602,3,0.08
Yeşillik Caddesi,Karabağlar İşkur Hizası,38.38424,27.13463,3,0.15
Uğur Mumcu Caddesi,Çevik Bir Meydanı,38.3833,27.16875,3,0.02
Mithatpaşa Caddesi,Ege Park Kavşağı,38.39426,27.05471,3,0.9
Akçay Caddesi,Esbaş Üst Geçit Altı,38.33674,27.13382,3,0.02
Anadolu Caddesi,Soğukkuyu Üst Geçit Altı,38.4684,27.12174,3,0.6
Ankara Caddesi,Ege Üniversitesi Hastanesi Ayrımı,38.45829,27.20983,3,0.07
Atatürk Caddesi,Alsancak Gar Sonrası,38.43835,27.14758,3,0
Anadolu Caddesi,Çiğli Alt Geçit Çıkışı,38.4944,27.06168,3,0
Gazi Bulvarı,Halit Ziya Kesişimi,38.4244,27.13481,3,0.19
Atatürk Caddesi,Tekel Kavşağı Öncesi,38.43686,27.1476,3,0.07
Anadolu Caddesi,Turan Köprü Altı,38.46735,27.14962,3,0.01
Menderes Caddesi,Buca Belediyesi Önü,38.3903,27.16416,3,0.08
Caher Dudayev Bulvarı,Atakent Kavşağı Öncesi,38.46772,27.08771,3,0.01
İnönü Caddesi,Yeşilyurt Kavşağı Öncesi,38.40185,27.1112,3,0.52
Özmen Caddesi,Üçkuyular Meydan,38.38226,27.17589,3,0
Mürselpaşa Bulvarı,Basmane Ayrımı Sonrası,38.42397,27.14471,3,0.12
Yeşildere Caddesi,Basmane Ayrımı Sonrası,38.42444,27.15196,3,0.64
Yeşillik Caddesi,Buca Köprü Üstü,38.38302,27.13486,3,2.94
Kemalpaşa Caddesi,BMC Kavşağı Öncesi,38.4389,27.25522,3,0.25
Menderes Caddesi,Buca Belediyesi Sonrası,38.3903,27.16416,3,0.08
Mürselpaşa Bulvarı,Basmane Yol Ayrımı Sonrası,38.42397,27.14471,3,0.12
Ankara Caddesi,Özkanlar Yol ayrımı,38.45722,27.20501,3,0.32
Akçay Caddesi,Havalimanı Kavşağı,38.31029,27.1424,3,2.08
Liman Caddesi,Alsancak Gar Sonrası,38.43965,27.14807,3,0.01
Eşrefpaşa Caddesi,Yağhaneler Kavşağı Sonrası,38.40203,27.12938,3,0.43
Gaziler Caddesi,Basmane Gar Sonrası,38.42226,27.14481,3,0
Mustafa Kemal Sahil Bulvarı,Sadıkbey Tramvay Durağı,38.40327,27.09578,3,0
Özmen Caddesi,Buca Üçkuyular Meydan,38.38223,27.176,3,0.01
Şehitler Caddesi,Halkapınar Köprü Üzeri,38.43406,27.16854,3,0.08
Şehitler Caddesi,Halkapınar Aktarma Merkezi,38.43406,27.16854,3,0.08
Birleşmiş Milletler Caddesi,Fatih Cami Hizası,38.41148,27.12787,3,0
Haydar Aliyev Bulvarı,Marina Kavşağı,38.40343,27.07179,3,2.72
Cumhuriyer Bulvarı,Konak Pier Hizası,38.42248,27.13116,3,0.15
Halil Rıfat Paşa Caddesi,Konak Alt Geçit Öncesi,38.41537,27.12828,3,0.18
Anadolu Caddesi,Bostanlı İtfaiye Öncesi,38.47005,27.1111,3,1.82
Mustafa Kemal Sahil Bulvarı,Konak Viyadük Üstü,38.41887,27.12775,3,0.05
Altınyol Caddesi,Alsancak Yol Ayrımı,38.44261,27.17074,3,1.94
Yeşillik Caddesi,Buca Köprü Sonrası,38.38302,27.13486,3,2.94
Gaziler Caddesi,Basmane Kavşağı Sonrası,38.42213,27.14349,3,0
Üniversite Caddesi,Bornova Metro Hizası,38.45831,27.2147,3,0.06
Anadolu Caddesi,Çiğli Belediyesi Sonrası,38.4944,27.06168,3,0
Kamil Tunca Bulvarı,Kartal Durağı,38.43231,27.19065,3,0
Mustafa Kemal Sahil Bulvarı,Konak Viyadük Altı,38.41887,27.12775,3,0.05
Yalı Bulvarı,Alaybey Tramvay Durağı Hizası,38.46022,27.12694,3,0.03
Kamil Tunca Bulvarı,Kartal Durağı Sonrası,38.43231,27.19065,3,0
Mustafa Kemal Sahil Bulvarı,Güzelyalı Tramvay Durağı Hizası,38.39849,27.0848,3,0.01
Anadolu Caddesi,Yeni Girne Köprü Sonrası,38.47043,27.11081,3,0.7
Eşrefpaşa Caddesi,Çankaya Katlı Otoparkı Hizası,38.41995,27.13687,3,0.29
Ankara Caddesi,Özkanlar yol Ayrımı Öncesi,38.45722,27.20501,3,0.32
Eşrefpaşa Caddesi,Eşrefpaşa Cami Hizası,38.4089,27.12877,3,0
Gaziler Caddesi,Basmane Kavşak İçi,38.42226,27.14481,3,0
Özmen Caddesi,Üçkuyular Meydanı,38.38216,27.1762,3,0.01
Doğuş Caddesi,Tınaztepe Kavşak İçi,38.37059,27.19523,3,0.03
Yeşillik Caddesi,Bozyaka Kavşak İçi,38.39847,27.13145,3,0.35
Altınyol Caddesi,Turan Köprü Sonrası,38.4471,27.17144,3,2.9
Ankara Caddesi,Naldöken Kavşağı Sonrası,38.45276,27.26592,3,0.07
Atatürk Caddesi,Alsancak Gar Kavşak İçi,38.43835,27.14758,3,0
Şehitler Caddesi,Sanayi Kavşak İçi,38.43307,27.18048,3,1.32
Ankara Caddesi,Manisa Kavşak İçi,38.46207,27.22599,3,0.07
Akçay Caddesi,Sarnıç Kavşağı Öncesi,38.31171,27.143,3,0.15
Akçay Caddesi,Aktepe,38.35286,27.13357,3,0.02
Cumhuriyet Bulvarı,Konak Pier Üst Geçit Sonrası,38.42248,27.13116,3,0.15
Üniversite Caddesi,Üniversite Kavşak İçi,38.44476,27.18495,3,0
Akçay Caddesi,Aktepe Sonrası,38.35286,27.13357,3,0.02
Akçay Caddesi,Semt Garajı Sonrası,38.35739,27.13539,3,0.06
Mithatpaşa Caddesi,Fahrettin Altay Merdan,38.39696,27.06989,3,0
Ankara Caddesi,Türkan Özilhan Devlet Hastanesi Viyadük Üstü,38.45792,27.25094,3,0.03
Liman Caddesi,Liman Viyadük Üstü,38.44025,27.14992,3,0.01
Akçay Caddesi,Sarnıç Köprü Üstü,38.31171,27.143,3,0.15
Şehitler Caddesi,Halkapınar Köprüsü Öncesi,38.43406,27.16854,3,0.08
İnönü Caddesi,Denizmen Kavşak İçi,38.39443,27.0773,3,0.44
Akçay Caddesi,Havalimanı Kavşağı Öncesi,38.31029,27.1424,3,2.08
Cemal Gürsel Caddesi,Karşıyaka İskele Öncesi,38.45567,27.12095,3,0.05
Yeşildere Caddesi,Gürçeşme Ayrımı Öncesi,38.41037,27.15473,3,0.2
Mustafa Kemal Sahil Bulvarı,Köprü Tramvay Durağı Sonrası,38.4058,27.09851,3,0.01
Anadolu Caddesi,Naldöken Yaya Üst Geçit Hizası,38.46651,27.12936,3,0.01
Anadolu Caddesi,Serinkuyu Kavşak İçi,38.47539,27.10287,3,0.01
Mustafa Kemal Sahil Bulvarı,Göztepe Tramvay Durak Hizası,38.4003,27.09155,3,0.01
Mustafa Kemal Sahil Bulvarı,Küçükyalı Kavşak Sonrası,38.40706,27.10161,3,0.08
Mürselpaşa Bulvarı,Basmane Ayrımı,38.42397,27.14471,2,0.12
Ankara Caddesi,Ege Üniversitesi Hastanesi,38.45747,27.20592,2,0.01
Atatürk Caddesi,Tekel Meydan,38.43686,27.1476,2,0.07
Yeşildere Caddesi,Karabağlar Belediyesi Hizası,38.39198,27.13457,2,0.39
Akçay Caddesi,Esbaş,38.33591,27.13407,2,0
Yeşildere Caddesi,Hilal Köprü Basmane Ayrımı,38.42652,27.15225,2,0.15
Akçay Caddesi,Semt Garajı Lambalar,38.35739,27.13539,2,0.06
Anadolu Caddesi,Çiğli Belediyesi Önü,38.4944,27.06168,2,0
Mürselpaşa Bulvarı,Hilal Köprü Üzeri,38.42474,27.14908,2,0.47
Menderes Caddesi,Şirinyer Migros Önü,38.3935,27.14879,2,0.13
Anadolu Caddesi,Naldöken Benzinlik Öncesi,38.46651,27.12936,2,0.01
Üniversite Caddesi,Ege Üniversite Hastanesi Kavşağı,38.44264,27.18076,2,2.69
Anadolu Caddesi,Benzinlik Öncesi,38.44812,27.17253,2,0.91
Yeşildere Caddesi,Hilal Köprü Öncesi,38.42652,27.15225,2,0.15
Halide Edip Adıvar Caddesi,Osman Öksüz Parkı,38.40367,27.12328,2,0.01
Mustafa Kemal Sahil Bulvarı,Karataş Tramvay Durağı,38.41046,27.11886,2,0.01
Mustafa Kemal Sahil Bulvarı,Güzelyalı Depo Kavşağı,38.39849,27.0848,2,0.01
Hasan Ali Yücel Bulvarı,Bostanlı Köprü Kavşağı,38.45493,27.09709,2,0.26
Şehitler Caddesi,Halkapınar Aktarma Köprü İnişi,38.43406,27.16854,2,0.08
Şehitler Caddesi,Halkapınar Aktarma Köprü Öncesi,38.43406,27.16854,2,0.08
Halide Edip Adıvar Caddesi,Yeşildere Caddesi'ne Katılım,38.39746,27.13124,2,1.62
Anadolu Caddesi,Yeni Girne Viyadük Altı,38.47043,27.11081,2,0.7
Yeşildere Caddesi,Ballıkuyu Katılımı Hizası,38.41693,27.15518,2,0.43
Gaziler Caddesi,Gıda Çarşısı Kavşağı,38.42465,27.16868,2,0.42
Altınyol Caddesi,Meles,38.44603,27.17145,2,0.04
Anadolu Caddesi,Ayyıldız Durakları Hizası,38.48046,27.09152,2,0.01
Üniversite Caddesi,Stadyum Metro Öncesi,38.44264,27.18076,2,0.03
Anadolu Caddesi,Naldöken Köprsü Sonrası,38.46651,27.12936,2,0.01
Şehitler Caddesi,Halkapınar Aktarma Köprü,38.43406,27.16854,2,0.08
Cumhuriyet Bulvarı,Cumhuriyet Meydanı Öncesi,38.42924,27.13488,2,0.06
Anadolu Caddesi,Turan Üst Geçit Sonrası İlave Şeritte,38.46735,27.14962,2,0.01
Şair Eşref Bulvarı,Hocazade Camii Hizası,38.4331,27.14394,2,0
Eşrefpaşa Caddesi,Cici Park Önü,38.41203,27.13086,2,0.04
Homeros Bulvarı,Onat Caddesi,38.40047,27.15519,2,0.1
Akçay Caddesi,Esbaş Alt Geçit Altı,38.33674,27.13382,2,0.02
Yüzbaşı İbrahim Hakkı Caddesi,Smyrna Kavşağı,38.46198,27.17164,2,0.12
Akçay Caddesi,Esbaş Kavşağı,38.33674,27.13382,2,0.02
Mustafa Kemal Sahil Bulvarı,Konak Alt Geçit Çıkışı,38.41887,27.12775,2,0.05
Gaziler Caddesi,Kemer Alt Geçit Girişi,38.42223,27.1504,2,0
Akçay Caddesi,Semt Garajı Önü,38.35739,27.13539,2,0.06
İnönü Caddesi,Susuzdede Park Hizası,38.39878,27.09552,2,0.43
Mehmet Akif Caddesi,Buca Köprü Sonrası,38.39281,27.14959,2,1.95
Fevzipaşa Bulvarı,Basmane Gar Öncesi,38.42256,27.14308,2,0.06
İnönü Caddesi,Göztepe Metro Öncesi,38.39605,27.09427,2,0.01
Anadolu Caddesi,Şemikler Üst Geçit Öncesi,38.4779,27.09604,2,0.28
Ankara Caddesi,Özkanlar Kavşağı Sonrası,38.45722,27.20501,2,0.32
Liman Caddesi,Liman D Kapısı Hizası,38.44025,27.14992,2,0.01
Şehitler Caddesi,Halkapınar Aktarma Kavşağı Öncesi,38.43406,27.16854,2,0.08
Eşrefpaşa Caddesi,Cici Park Öncesi,38.41203,27.13086,2,0.04
Homeros Bulvarı,Konak Tünel Girişi,38.4025,27.14404,2,2.12
Anadolu Caddesi,Çiğli Belediye Sonrası,38.4944,27.06168,2,0
Akçay Caddesi,Esbaş Alt Geçit Çıkışı,38.33674,27.13382,2,0.02
Caher Dudayev Bulvarı,Bilim Müzesi Öncesi,38.47414,27.08221,2,0.01
Atatürk Caddesi,Alsancak Gar Öncesi,38.43835,27.14758,2,0
Menderes Caddesi,Şirinyer Kavşağı,38.3935,27.14879,2,0.13
Kamil Tunca Bulvarı,Yeşilova Kavşağı,38.4305,27.1988,2,0.96
Menderes Caddesi,Buca Heykel Kavşağı,38.389,27.17029,2,0.63
Anadolu Caddesi,Çiğli İtfaiye Önü,38.4944,27.06168,2,0
Hasan Ali Yücel Bulvarı,Bostanlı İskele Öncesi,38.45486,27.09682,2,0.02
Mithatpaşa Caddesi,Fahrettin Altay Meydan,38.39696,27.06989,2,0
İnönü Caddesi,Hıfzıssıhha Kavşağı,38.3932,27.08805,2,0.01
Ankara Caddesi,Ege Üniversitesi Hastanesi Viyadük Üzeri,38.45829,27.20983,2,0.07
Doğuş Caddesi,Tınaztepe Kampüs Kavşağı,38.37532,27.19201,2,0.17
Halil Rıfat Paşa Caddesi,Bahribaba Otobüs Durakları,38.41537,27.12828,2,0.09
İzmir Sarnıç Yolu,Sarnıç Köprü Üstü,38.31154,27.14452,2,0.06
Mithatpaşa Caddesi,Adnan Saygun Sanat Merkezi,38.39858,27.07634,2,0
Anadolu Caddesi,Naldöken Köprü,38.46651,27.12936,2,0.01
İnönü Caddesi,Fahrettin Altay Meydanı,38.39695,27.07004,2,0.01
Ankara Caddesi,Ege Üniversitesi Hastanesi Yol Ayrımı Öncesi,38.45829,27.20983,2,0.07
Gaziler Caddesi,Tepecik Köprü Öncesi,38.4227,27.1563,2,0.01
Altınyol Caddesi,Liman Caddesi Girişi,38.44261,27.17074,2,1.4
Cumhuriyer Bulvarı,Konak Pier Öncesi,38.42248,27.13116,2,0.15
Akçay Caddesi,Gaziemir İlçe Emniyet Hizası,38.31679,27.14045,2,0.01
Altınyol Caddesi,Turan,38.44261,27.17074,2,2.63
Akçay Caddesi,Aktepe Üst Geçit Sonrası,38.35286,27.13357,2,0.02
Caher Dudayev Bulvarı,Koçtaş Kavşağı Öncesi,38.47765,27.06602,2,0.08
İnönü Caddesi,Poligon Metro Durağı,38.39326,27.08483,2,0
Liman Caddesi,Havagazı Fabrikası Sonrası,38.44026,27.15672,2,0.13
Yalı Bulvarı,Alaybey Tramvay Durağı Sonrası,38.46022,27.12694,2,0.03
Yeşildere Caddesi,Konak Tüneli,38.39535,27.13683,2,0.21
Akçay Caddesi,Havalimanı Kavşağı Sonrası,38.31029,27.1424,2,2.08
Mustafa Kemal Sahil Bulvarı,Göztepe İskele Sonrası,38.4003,27.09155,2,0.01
Girne Bulvarı,Yeni Girne Viyadük Üstü,38.47033,27.11194,2,0.66
Yeşillik Caddesi,Buca Yol Ayrımı Sonrası,38.38302,27.13486,2,2.94
Menderes Caddesi,Şirinyer PTT Hizası,38.39178,27.15342,2,0.01
Homeros Bulvarı,Şirinyer Ayrımı,38.40108,27.14938,2,0.89
Mustafa Kemal Sahil Bulvarı,Göztepe Üst Geçit Altı,38.4003,27.09155,2,0.01
Mithatpaşa Caddesi,İstihkam Viyadüğü Sonrası,38.38614,26.94474,2,0.04
Cemal Gürsel Caddesi,Nikah Sarayı Hizası,38.44999,27.11055,2,0.03
Mustafa Kemal Sahil Bulvarı,Köprü Durağı Hizası,38.4058,27.09851,2,0.01
Mustafa Kemal Sahil Bulvarı,Göztepe Tramvay Hizası,38.4003,27.09155,2,0.01
Ankara Caddesi,Bornova Metro Hizası,38.45847,27.21151,2,0.01
Kemalpaşa Caddesi,BMC Kavşağı Sonrası,38.4389,27.25522,2,0.25
Konak Tüneli,Konak Tünel Sonrası,38.41576,27.12754,2,0.11
Halil Rıfat Paşa Caddesi,Konak Tünel Sonrası,38.41537,27.12828,2,0.18
Eşrefpaşa Caddesi,Cici Park Sonrası,38.41203,27.13086,2,0.04
Altınyol Caddesi,Zafer Payzın Kavşağı Sonrası,38.4449,27.1712,2,0.09
Akçay Caddesi,Sarnıç Kavşağı Sonrası,38.31171,27.143,2,0.15
Şehitler Caddesi,Kemer Alt Geçit İçi,38.43558,27.16474,2,1.68
Akçay Caddesi,Sarnıç Köprü Öncesi,38.31171,27.143,2,0.15
Halil Rıfat Paşa Caddesi,Konak Tünel Çıkışı,38.41537,27.12828,2,0.18
İnönü Caddesi,Susuzdede Parkı Hizası,38.39878,27.09552,2,0.43
Anadolu Caddesi,Çiğli İtfaiye Kavşağı,38.4944,27.06168,2,0
Eşrefpaşa Caddesi,Çankaya Kavşağı Öncesi,38.41995,27.13687,2,0.29
Caher Dudayev Bulvarı,Atakent Kavşağı Sonrası,38.46772,27.08771,2,0.01
Gaziler Caddesi,İzsu Hizası,38.42256,27.14308,2,1.21
Caher Dudayev Bulvarı,Mavişehir Kapalı Salonu,38.47533,27.06773,2,0.01
Cemal Gürsel Caddesi,Naldöken Köprü Üstü,38.46585,27.13001,2,0.04
Mustafa Kemal Sahil Bulvarı,Sadıkbey Tramvay Durağı Hizası,38.40327,27.09578,2,0
Üniversite Caddesi,Bölge Metro Hizası,38.45484,27.20148,2,0.01
Caher Dudayev Bulvarı,Bilim Müzesi Tramvay Durağı Hizası,38.47414,27.08221,2,0.01
İnönü Caddesi,Göztepe Metro Sonrası,38.39605,27.09427,2,0.01
Ankara Caddesi,Bölge Trafik Öncesi,38.45983,27.2396,2,0
Talatpaşa Bulvarı,Tekel Meydanı Öncesi,38.43622,27.14625,2,0.04
Mustafa Kemal Sahil Bulvarı,Konak Alt Geçit Altı,38.41887,27.12775,2,0.05
Akçay Caddesi,Gaziemir Migros Kavşak İçi,38.32582,27.13665,2,0.29
Cemal Gürsel Caddesi,Bostanlı İskele Öncesi,38.45699,27.09832,2,0.01
Yeşildere Caddesi,Konak Tüneli Sonrası,38.40721,27.14447,2,1.78
Mürselpaşa Bulvarı,Bozkurt Kavşağı Sonrası,38.42373,27.14335,2,1.49
Akçay Caddesi,Gaziemir Alt Geçit sonrası,38.32582,27.13665,2,0.29
Eşrefpaşa Caddesi,Çankaya Katlı Otopark Öncesi,38.41995,27.13687,2,0.29
Gaziler Caddesi,Kemer Alt Geçit Altı,38.42223,27.1504,2,0
Anadolu Caddesi,Soğukkuyu Yaya Üst Geçit Altı,38.4684,27.12174,2,0.6
Üniversite Caddesi,Bornova Metro Durağı,38.45831,27.2147,2,0.06
Liman Caddesi,Liman D Kapısı,38.44025,27.14992,2,0.01
Manas Bulvarı,Smyrna Meydanı Kavşak İçi,38.4611,27.17252,2,0.01
Şehitler Caddesi,Halkapınar Kavşak İçi,38.43333,27.17035,2,0
Ankara Caddesi,Özkanlar Yol ayrımı Öncesi,38.45722,27.20501,2,0.32
Girne Bulvarı,Yeni Girne Kavşak İçi,38.47033,27.11194,2,0.66
Akdoğan Caddesi,Nato Kavşak İçi,38.3929,27.14061,2,0
Fatih Caddesi,Stadyum Hizası,38.44234,27.18017,2,0.04
Mustafa Kemal Sahil Bulvarı,Polis Evi Hizası,38.41321,27.12122,2,0.03
Yeşildere Caddesi,Gürçeşme Yol ayrımı,38.41037,27.15473,2,0.2
Anadolu Caddesi,Girne Kavşak İçi,38.46996,27.11154,2,0
Akçay Caddesi,Aktepe Kavşak İçi,38.35286,27.13357,2,0.02
Anadolu Caddesi,Turan ÜSt Geçit Öncesi,38.46735,27.14962,2,0.01
Manas Bulvarı,Folkart Kavşak İçi,38.45406,27.17744,2,0.07
Şair Eşref Bulvarı,Lozan Meydanı Sonrası,38.43102,27.14265,2,0
Girne Bulvarı,Yeni Girne Köprü Sonrası,38.47033,27.11194,2,0.66
Ankara Caddesi,Çevreyolu Girişi,38.45649,27.20336,2,0.59
Ankara Caddesi,Zafer Payzın Kavşak İçi,38.44619,27.17581,2,0.17
Anadolu Caddesi,Dedebaşı Kavşak İçi,38.4717,27.10852,2,0.01
Yalı Bulvarı,Karşıyaka Anıt Öncesi,38.45531,27.11968,2,0.01
Dr. Refik Saydam Bulvarı,Montrö Meydan Öncesi,38.42776,27.14122,2,0.08
Cumhuriyet Bulvarı,Cumhuriyet Meydanı,38.42924,27.13488,2,0.06
Anadolu Caddesi,Turan otobüs Durakları Sonrası,38.46735,27.14962,2,0.01
Halil Rıfat Paşa Caddesi,Konak Tüneli Öncesi,38.41537,27.12828,2,0.18
Atatürk Caddesi,Sebze Hali Kavşak İçi,38.29776,27.17618,2,0.3
Mustafa Kemal Sahil Bulvarı,Göztepe Tramvay Durağı Sonrası,38.4003,27.09155,2,0.01
Cumhuriyet Bulvarı,Konak Pier Sonrası,38.42248,27.13116,2,0.15
Akçay Caddesi,serbest Bölge Alt Geçit İçi,38.33586,27.13397,2,0.02
Şehitler Caddesi,1.Sanayi Kavşak İçi,38.43245,27.17532,2,0.14
Mustafa Kemal Sahil Bulvarı,Üçkuyular Tramvay Durağı Hizası,38.40326,27.07148,2,0.01
Anadolu Caddesi,Çiğli Belesiyesi Hizası,38.4944,27.06168,2,0
Akçay Caddesi,Aktepe Ayrımı Öncesi,38.35286,27.13357,2,0.02
Eşrefpaşa Caddesi,Yağhaneler Kavşak İçi,38.40213,27.12956,2,0.13
Ankara Caddesi,İzbeton Hizası,38.44971,27.28684,2,0.01
Nursultan Nazarbayev Caddesi,Smyrna Kavşak İçi,38.46175,27.17132,2,0.13
Anadolu Caddesi,İzmir Arena Hizası,38.46571,27.14454,2,0.08
Anadolu Caddesi,Dedebaşı Üst Geçit Sonrası,38.4717,27.10852,2,0.01
Gaziler Caddesi,Gıda Çarşısı Girişi,38.42465,27.16868,2,0.42
Mustafa Kemal Sahil Bulvarı,Göztepe İskele Hizası,38.4003,27.09155,2,0.01
Yeşillik Caddesi,Gediz Kavşağı Öncesi,38.36185,27.13735,2,0.61
Mürselpaşa Bulvarı,Yeşildere Ayrımı Sonrası,38.4246,27.14886,2,1.51
Fevzipaşa Bulvarı,Şehit Fethi Bey Caddesi,38.42249,27.14291,2,0.29
Yeşildere Caddesi,Buca Kavşak İçi,38.40208,27.1431,2,0.32
Gaziler Caddesi,Kapılar Öncesi,38.42211,27.15164,2,0
Yeni Girne Bulvarı,Yeni Girne Pazaryeri Hizası,38.47697,27.11564,2,0.01
Menderes Caddesi,Şirinyer Parkı Hizası,38.3935,27.14879,2,0.13
Şair Eşref Bulvarı,Montrö Meydanı Kavşak İçi,38.42844,27.14141,2,0
Girne Bulvarı,Girne Pazaryeri Öncesi,38.47033,27.11194,2,0.98
İstanbul Caddesi,Topçu Tugayı Kavşak İçi,38.46409,27.22696,2,1.12
Girne Bulvarı,Girne Kavşak İçi,38.46994,27.11154,2,0
Eşrefpaşa Caddesi,İkiçeşmelik Cami Sonrası,38.41432,27.1342,2,0
Eşrefpaşa Caddesi,İkiçeşmelik İnişi,38.41432,27.1342,2,0
Eşrefpaşa Caddesi,Kestelli Caddesi Girişi,38.4158,27.13503,2,0
Anadolu Caddesi,Çiğli Kavşağı Öncesi,38.4944,27.06168,2,0
Homeros Bulvarı,Konak Tüneli,38.4018,27.14376,2,0.88
Caher Dudayev Bulvarı,Mavişehir AVM Önü,38.47533,27.06773,2,0.01
Anadolu Caddesi,Evka 5 Kavşak İçi,38.50838,27.04728,2,0.46
Altınyol Caddesi,Bayraklı dönüşü Sonrası,38.4471,27.17144,2,1.95
Akçay Caddesi,Aktepe Öncesi,38.35286,27.13357,2,0.02
Mustafa Kemal Sahil Bulvarı,Konak Pier Öncesi,38.41887,27.12775,2,0.05
Eşrefpaşa Caddesi,Kestelli Kavşak İçi,38.4158,27.13503,2,0
Yalı Bulvarı,Yunuslar Kavşak İçi,38.45079,27.10596,2,0.01
Caher Dudayev Bulvarı,Karya Evleri Kavşak İçi,38.47842,27.06552,2,0.01
Mürselpaşa Bulvarı,Yeşildere Yol Ayrımı,38.4246,27.14886,2,1.51
Gazi Osman Paşa Bulvarı,Çankaya Kavşağı Sonrası,38.42346,27.13757,2,0.01
Anadolu Caddesi,Şemikler Kavşak Öncesi,38.4779,27.09604,2,0.28
Mustafa Kemal Sahil Bulvarı,Güzelyalı Kavşak Öncesi,38.39849,27.0848,2,0.01
