cadde,konum,enlem,boylam,olay,eslesme_uzakligi_km
Akçay Caddesi,Serbest Bölge Kavşak İçi,38.33586,27.13397,38,0.02
Anadolu Caddesi,Soğukkuyu Kavşağı Öncesi,38.4684,27.12174,36,0.6
Mustafa Kemal Sahil Bulvarı,Göztepe Asma Köprü Sonrası,38.4003,27.09155,36,0.01
Mustafa Kemal Sahil Bulvarı,Karantina Alt Geçit Öncesi,38.40839,27.10796,35,0.14
Anadolu Caddesi,Turan Köprü Sonrası,38.46735,27.14962,35,0.01
Mustafa Kemal Sahil Bulvarı,Küçükyalı Kavşağı Sonrası,38.40706,27.10161,35,0.08
Mustafa Kemal Sahil Bulvarı,Güzelyalı Kavşağı Öncesi,38.39849,27.0848,34,0.01
Akçay Caddesi,Serbest Bölge Alt Geçit Girişi,38.33659,27.13385,34,0.25
Mustafa Kemal Sahil Bulvarı,Konak Alt Geçit Öncesi,38.41887,27.12775,33,0.05
Üniversite Caddesi,Ege Üniversitesi Acil Hizası,38.45837,27.21615,32,1.11
Altınyol Caddesi,Bayraklı Üst Geçit Altı,38.4471,27.17144,32,1.95
Akçay Caddesi,Gaziemir Alt Geçit,38.31679,27.14045,31,0.01
Şehitler Caddesi,1. Sanayi Kavşak İçi,38.43245,27.17532,31,0.14
Anadolu Caddesi,Turan Köprü Öncesi,38.46735,27.14962,30,0.01
Anadolu Caddesi,Çiğli İtfaiye Öncesi,38.4944,27.06168,29,0
Yeşillik Caddesi,Kaymakkuyu Kavşağı,38.40213,27.12966,29,1.64
Anadolu Caddesi,Ayyıldız Kavşağı Öncesi,38.48046,27.09152,29,0.01
Yeşildere Caddesi,Basmane Yol Ayrımı,38.42444,27.15196,28,0.64
Anadolu Caddesi,Bayraklı Belediyesi Hizası,38.46504,27.16332,28,0.01
Anadolu Caddesi,Naldöken Köprü Altı,38.46651,27.12936,27,0.01
Mustafa Kemal Sahil Bulvarı,Göztepe Asma Köprü Altı,38.4003,27.09155,27,0.01
Mustafa Kemal Sahil Bulvarı,Göztepe Asma Köprü Öncesi,38.4003,27.09155,27,0.01
Cumhuriyet Bulvarı,Konak Pier Hizası,38.42248,27.13116,27,0.15
Anadolu Caddesi,Soğukkuyu Kavşağı,38.4684,27.12174,26,0.6
Mustafa Kemal Sahil Bulvarı,Güzelyalı Kavşağı Sonrası,38.39849,27.0848,26,0.01
Caher Dudayev Bulvarı,Karya Evleri Hizası,38.47842,27.06552,26,0.01
Halil Rıfat Paşa Caddesi,Konak Tüneli,38.41379,27.12447,25,0.05
Mustafa Kemal Sahil Bulvarı,Göztepe Tramvay Durağı Hizası,38.4003,27.09155,25,0.01
Mürselpaşa Bulvarı,Hilal Köprü Sonrası,38.42474,27.14908,24,0.47
Anadolu Caddesi,Soğukkuyu Kavşak İçi,38.46748,27.11742,24,0.01
Ankara Caddesi,Özkanlar Yol Ayrımı,38.45722,27.20501,23,0.32
Altınyol Caddesi,Bayraklı Üst Geçit Öncesi,38.4471,27.17144,23,1.95
Akçay Caddesi,Gediz Kavşak İçi,38.36156,27.13729,23,0.61
Altınyol Caddesi,Liman Yol Ayrımı,38.44261,27.17074,22,1.4
Gaziler Caddesi,Tepecik Köprü Altı,38.4227,27.1563,22,0.01
Yeşildere Caddesi,Gürçeşme Yol Ayrımı Öncesi,38.41037,27.15473,22,0.2
Şair Eşref Bulvarı,Montrö Meydanı,38.42844,27.14141,21,0
Yeşildere Caddesi,Tepecik Köprü Girişi,38.42168,27.1531,21,0.3
Akçay Caddesi,Esbaş Alt Geçit Öncesi,38.33674,27.13382,21,0.02
Akçay Caddesi,Sarnıç Kavşağı,38.31171,27.143,20,0.15
Mürselpaşa Bulvarı,Basmane Yol Ayrımı,38.42397,27.14471,20,0.12
Anadolu Caddesi,Bostanlı İtfaiye Hizası,38.47005,27.1111,19,1.82
Anadolu Caddesi,Turan Üst Geçit Hizası,38.46735,27.14962,19,0.01
Anadolu Caddesi,Ayyıldız Kavşağı,38.48046,27.09152,19,0.01
Altınyol Caddesi,Bayraklı Üst Geçit Sonrası,38.4471,27.17144,18,1.95
Yeşillik Caddesi,Karabağlar Belesiyesi Hizası,38.38424,27.13463,18,0.15
Gaziler Caddesi,Kemer Alt Geçit,38.42223,27.1504,17,0
Şehitler Caddesi,Halkapınar Kavşağı,38.43406,27.16854,17,0.08
